,Source,Target,Weight
0,pib_comm,mib_india,4.0
1,pib_comm,minofculturegoi,1.0
2,pib_comm,PIB_Guwahati,1.0
3,pib_comm,YASMinistry,1.0
4,pib_comm,finminindia,1.0
5,pib_comm,moayush,4.0
6,pib_comm,dot_india,49.0
7,pib_comm,PMOIndia,11.0
8,pib_comm,texminindia,2.0
9,pib_comm,pmoindia,11.0
10,pib_comm,GoI_MeitY,32.0
11,pib_comm,pib_law,21.0
12,pib_comm,mohfw_india,7.0
13,pib_comm,shipmin_india,1.0
14,pib_comm,rashtrapatibhvn,1.0
15,pib_comm,IndiaSports,3.0
16,MoJSDoWRRDGR,mib_india,4.0
17,MoJSDoWRRDGR,MoHUA_India,6.0
18,MoJSDoWRRDGR,PIB_Guwahati,3.0
19,MoJSDoWRRDGR,YASMinistry,1.0
20,MoJSDoWRRDGR,finminindia,1.0
21,MoJSDoWRRDGR,MoRD_GOI,9.0
22,MoJSDoWRRDGR,moayush,3.0
23,MoJSDoWRRDGR,moefcc,1.0
24,MoJSDoWRRDGR,UPGovt,1.0
25,MoJSDoWRRDGR,PMOIndia,45.0
26,MoJSDoWRRDGR,texminindia,4.0
27,MoJSDoWRRDGR,pmoindia,45.0
28,MoJSDoWRRDGR,labourministry,1.0
29,MoJSDoWRRDGR,GoI_MeitY,1.0
30,MoJSDoWRRDGR,mohfw_india,33.0
31,MoJSDoWRRDGR,mopr_goi,1.0
32,MoJSDoWRRDGR,railminindia,5.0
33,MoJSDoWRRDGR,moca_goi,2.0
34,MoJSDoWRRDGR,CMOfficeUP,1.0
35,MoJSDoWRRDGR,MOFPI_GOI,1.0
36,mib_india,pib_comm,1.0
37,mib_india,MoJSDoWRRDGR,1.0
38,mib_india,CMOGuj,1.0
39,mib_india,minofpower,3.0
40,mib_india,minofculturegoi,16.0
41,mib_india,tourismgoi,4.0
42,mib_india,PIB_Guwahati,1.0
43,mib_india,YASMinistry,16.0
44,mib_india,finminindia,10.0
45,mib_india,PIBHomeAffairs,4.0
46,mib_india,IndiaDST,2.0
47,mib_india,MoRD_GOI,1.0
48,mib_india,defenceminindia,6.0
49,mib_india,moayush,7.0
50,mib_india,moefcc,11.0
51,mib_india,minmsme,2.0
52,mib_india,mnreindia,5.0
53,mib_india,hmoindia,3.0
54,mib_india,PMOIndia,34.0
55,mib_india,PetroleumMin,1.0
56,mib_india,texminindia,3.0
57,mib_india,pmoindia,34.0
58,mib_india,Minority_GoI,2.0
59,mib_india,fertmin_india,1.0
60,mib_india,labourministry,5.0
61,mib_india,GoI_MeitY,2.0
62,mib_india,mohfw_india,7.0
63,mib_india,MSDESkillIndia,2.0
